battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s,v_start,v_end,v_min,v_max,v_mean,v_drop,v_std,voltage_slope,v_skew,dc_internal_resistance,i_mean,i_min,i_max,t_start,t_end,t_min,t_max,t_mean,temp_rise,temp_rise_rate,temp_std,energy_wh,re_electrolyte_ohms,rct_charge_transfer_ohms,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0005,11,2008-04-04T09:57:19,24.0,3530.25,4.1889,3.2663,2.4724,4.1889,3.5493,1.7165,0.2431,0.0002614,-0.7949,0.10021,-1.8634,-2.0161,0.0026,24.44,35.32,24.43,38.54,32.16,14.1,0.003995,3.419,6.5223,,,1.82462,2.0,91.231,98.283,75,64,125,114.0
B0005,12,2008-04-04T17:56:27,24.0,3491.02,4.1899,3.2962,2.6496,4.1899,3.5598,1.5403,0.2289,0.000256,-0.5113,0.0994,-1.873,-2.0169,0.0024,24.74,35.59,24.74,38.52,32.36,13.78,0.003947,3.364,6.4974,,,1.8142,2.0,90.71,97.722,75,63,125,113.0
B0005,13,2008-04-04T22:01:54,24.0,3470.28,4.1893,3.2718,2.5725,4.1893,3.5581,1.6168,0.2346,0.0002644,-0.6549,0.09941,-1.8826,-2.0164,0.0019,24.74,35.96,24.73,38.58,32.32,13.85,0.00399,3.374,6.4917,,,1.81375,2.0,90.688,97.698,75,62,125,112.0
B0005,14,2008-04-05T02:20:26,24.0,3470.0,4.1888,3.2649,2.525,4.1888,3.5557,1.6638,0.2379,0.0002663,-0.7323,0.09969,-1.8825,-2.0158,0.0023,24.45,35.87,24.45,38.52,32.16,14.07,0.004055,3.426,6.4869,,,1.81344,2.0,90.672,97.681,75,61,125,111.0
B0005,15,2008-04-05T06:25:01,24.0,3450.3,4.1891,3.3091,2.6946,4.1891,3.5627,1.4945,0.2239,0.0002551,-0.4339,0.0997,-1.8818,-2.0194,0.0013,24.47,35.53,24.46,38.21,32.04,13.74,0.003983,3.36,6.4566,,,1.8026,2.0,90.13,97.097,75,60,125,110.0
B0005,16,2008-04-05T10:30:32,24.0,3429.41,4.1892,3.2881,2.6401,4.1892,3.5615,1.5491,0.228,0.0002627,-0.5406,0.09974,-1.8922,-2.0164,0.0031,24.33,35.81,24.32,38.2,31.93,13.87,0.004045,3.385,6.4509,,,1.80211,2.0,90.105,97.071,75,59,125,109.0
B0005,17,2008-04-05T14:34:41,24.0,3409.48,4.1889,3.2608,2.5739,4.1889,3.5603,1.615,0.233,0.0002722,-0.6685,0.09951,-1.9028,-2.0165,0.0009,24.36,36.24,24.36,38.32,31.94,13.96,0.004093,3.401,6.4495,,,1.80258,2.0,90.129,97.096,75,58,125,108.0
B0005,18,2008-04-05T18:39:25,24.0,3390.42,4.1888,3.2295,2.4942,4.1888,3.5591,1.6945,0.2387,0.0002829,-0.8246,0.09957,-1.9133,-2.0181,-0.0004,24.38,36.7,24.38,38.48,31.97,14.1,0.004158,3.415,6.4472,,,1.80307,2.0,90.153,97.123,75,57,125,107.0
B0005,19,2008-04-05T22:46:35,24.0,3390.28,4.1893,3.2244,2.4557,4.1893,3.5579,1.7336,0.2415,0.0002846,-0.8848,0.09956,-1.9132,-2.017,0.0023,24.36,36.78,24.36,38.55,31.97,14.19,0.004184,3.433,6.444,,,1.80278,2.0,90.139,97.107,75,56,125,106.0
B0005,20,2008-04-18T21:10:19,24.0,3591.73,4.1876,3.2587,2.6321,4.1876,3.552,1.5555,0.2342,0.0002586,-0.5545,0.09959,-1.8553,-2.0168,0.006,24.56,34.93,24.55,38.45,32.37,13.89,0.003867,3.358,6.6109,0.044669,0.069456,1.84703,2.0,92.351,99.49,75,55,125,105.0
B0005,21,2008-04-19T02:29:09,24.0,3552.3,4.1876,3.218,2.5028,4.1876,3.5526,1.6849,0.2442,0.0002729,-0.7944,0.0991,-1.8747,-2.0162,0.0016,24.92,36.07,24.92,38.99,32.7,14.07,0.003961,3.414,6.611,0.044843,0.067972,1.84742,2.0,92.371,99.511,75,54,125,104.0
B0005,22,2008-04-19T07:47:15,24.0,3531.58,4.1874,3.2573,2.6175,4.1874,3.5568,1.5699,0.2331,0.0002634,-0.5925,0.09924,-1.8738,-2.0168,0.0025,24.57,35.57,24.57,38.51,32.32,13.95,0.00395,3.395,6.5747,0.045101,0.068528,1.83618,2.0,91.809,98.906,75,53,125,103.0
B0005,23,2008-04-19T13:01:42,24.0,3492.91,4.1873,3.2803,2.6941,4.1873,3.5614,1.4933,0.2248,0.0002597,-0.4613,0.09965,-1.8832,-2.016,0.0038,24.22,35.5,24.22,38.17,31.99,13.95,0.003994,3.404,6.5394,0.044172,0.068044,1.82578,2.0,91.289,98.346,75,52,125,102.0
B0005,24,2008-04-19T18:27:29,24.0,3511.59,4.1874,3.2798,2.6238,4.1874,3.5566,1.5637,0.2307,0.0002585,-0.5653,0.09976,-1.8732,-2.0172,0.0034,24.05,35.21,24.05,38.17,31.89,14.11,0.004018,3.436,6.5323,0.043787,0.06845,1.82511,2.0,91.256,98.31,75,51,125,101.0
B0005,25,2008-04-19T23:41:55,24.0,3431.94,4.1877,3.2051,2.5011,4.1877,3.5587,1.6867,0.2385,0.0002863,-0.8358,0.09967,-1.914,-2.0161,0.0013,24.03,36.51,24.02,38.28,31.78,14.25,0.004151,3.445,6.5279,0.044639,0.068341,1.82558,2.0,91.279,98.335,75,50,125,100.0
B0005,26,2008-04-20T04:54:41,24.0,3431.12,4.1883,3.2769,2.685,4.1883,3.5641,1.5033,0.2237,0.0002656,-0.4816,0.09976,-1.9031,-2.0169,0.0031,23.94,35.88,23.94,37.98,31.69,14.04,0.004093,3.423,6.4951,0.043559,0.068682,1.81403,2.0,90.702,97.713,75,49,125,99.0
B0005,27,2008-04-20T10:16:28,24.0,3412.41,4.1873,3.2311,2.5471,4.1873,3.5596,1.6402,0.234,0.0002802,-0.7418,0.10002,-1.9135,-2.0246,0.0011,23.81,36.32,23.81,38.11,31.6,14.3,0.00419,3.461,6.4894,0.045265,0.068144,1.81477,2.0,90.738,97.753,75,48,125,98.0
B0005,28,2008-04-20T15:37:05,24.0,3410.69,4.1876,3.222,2.4713,4.1876,3.5568,1.7162,0.2395,0.0002831,-0.8695,0.10008,-1.9136,-2.0173,-0.0,23.75,36.41,23.75,38.19,31.57,14.43,0.004232,3.48,6.4822,0.044484,0.067826,1.81397,2.0,90.698,97.71,75,47,125,97.0
B0005,29,2008-04-20T20:50:38,24.0,3410.72,4.1881,3.2901,2.6614,4.1881,3.5624,1.5267,0.2247,0.0002633,-0.5067,0.1,-1.9026,-2.0171,0.0038,23.8,35.87,23.79,38.0,31.59,14.2,0.004164,3.455,6.4514,0.044414,0.068858,1.80277,2.0,90.138,97.106,75,46,125,96.0
B0005,30,2008-04-21T02:15:02,24.0,3392.72,4.1877,3.2512,2.5418,4.1877,3.5591,1.6459,0.2337,0.000276,-0.7333,0.10006,-1.9131,-2.0159,0.0007,23.8,36.41,23.8,38.19,31.6,14.39,0.004242,3.483,6.4493,0.044535,0.067794,1.80408,2.0,90.204,97.177,75,45,125,95.0
B0005,31,2008-04-22T15:33:49,24.0,3470.67,4.2011,3.2493,2.6289,4.2011,3.5573,1.5722,0.2245,0.0002742,-0.5653,0.09555,-1.9206,-2.0167,0.0008,23.78,36.28,23.78,38.46,31.92,14.68,0.004229,3.508,6.6214,0.045021,0.069404,1.8518,2.0,92.59,99.748,75,44,125,94.0
B0005,32,2008-04-22T20:26:18,24.0,3414.11,4.1996,3.2601,2.6313,4.1996,3.5619,1.5684,0.2233,0.0002752,-0.5724,0.09377,-1.9299,-2.0183,0.0012,24.2,36.74,24.2,38.49,32.08,14.29,0.004185,3.392,6.5507,0.046463,0.069938,1.8307,2.0,91.535,98.611,75,43,125,93.0
B0005,33,2008-04-23T01:18:11,24.0,3395.22,4.1999,3.2811,2.6549,4.1999,3.5618,1.545,0.221,0.0002706,-0.5208,0.0941,-1.9293,-2.0166,0.0019,24.01,36.5,24.0,38.31,31.85,14.31,0.004214,3.38,6.5108,0.047724,0.069504,1.8199,2.0,90.995,98.029,75,42,125,92.0
B0005,34,2008-04-23T06:18:19,24.0,3386.0,4.1991,3.3094,2.675,4.1991,3.5597,1.5241,0.219,0.0002628,-0.4707,0.09464,-1.9233,-2.0194,0.0018,23.54,36.04,23.54,37.86,31.47,14.32,0.00423,3.416,6.4692,0.04694,0.069661,1.80931,2.0,90.465,97.459,75,41,125,91.0
B0005,35,2008-04-23T11:08:00,24.0,3368.19,4.2,3.2956,2.616,4.2,3.5576,1.584,0.2236,0.0002685,-0.5685,0.09459,-1.9284,-2.0158,0.0075,23.57,36.22,23.57,37.91,31.41,14.34,0.004258,3.398,6.4481,0.047028,0.071129,1.80461,2.0,90.23,97.206,75,40,125,90.0
B0005,36,2008-04-23T16:06:25,24.0,3368.27,4.1997,3.3172,2.6584,4.1997,3.5597,1.5412,0.2207,0.000262,-0.4935,0.09423,-1.9231,-2.0199,0.0014,23.98,36.48,23.97,38.34,31.9,14.36,0.004264,3.432,6.434,0.047755,0.071671,1.79938,2.0,89.969,96.924,75,39,125,89.0
B0005,37,2008-04-23T21:02:58,24.0,3358.72,4.1992,3.3478,2.6979,4.1992,3.5591,1.5012,0.2174,0.0002535,-0.4142,0.09457,-1.917,-2.0165,0.0026,23.76,35.99,23.76,38.07,31.65,14.32,0.004263,3.43,6.393,0.047023,0.069767,1.78844,2.0,89.422,96.335,75,38,125,88.0
B0005,38,2008-04-24T01:51:33,24.0,3339.5,4.2,3.3378,2.6617,4.2,3.557,1.5383,0.2202,0.0002582,-0.479,0.09488,-1.922,-2.0171,0.0012,23.51,36.1,23.51,38.07,31.49,14.56,0.004359,3.468,6.3691,0.046245,0.071925,1.78292,2.0,89.146,96.037,75,37,125,87.0
B0005,39,2008-04-24T06:50:00,24.0,3331.26,4.1992,3.3644,2.6993,4.1992,3.5562,1.4999,0.2171,0.0002506,-0.4063,0.09535,-1.9162,-2.018,0.0024,23.28,35.86,23.27,37.8,31.33,14.52,0.004358,3.509,6.332,0.046186,0.071938,1.77303,2.0,88.652,95.505,75,36,125,86.0
B0005,40,2008-04-24T11:49:24,24.0,3321.19,4.1994,3.336,2.6128,4.1994,3.5533,1.5866,0.2242,0.00026,-0.5607,0.09523,-1.9221,-2.0177,0.0021,23.44,36.41,23.44,38.4,31.57,14.96,0.004504,3.563,6.3279,0.047737,0.07034,1.77304,2.0,88.652,95.505,75,35,125,85.0
B0005,41,2008-04-24T16:45:56,24.0,3321.84,4.1996,3.3557,2.6637,4.1996,3.5563,1.5359,0.2207,0.0002541,-0.4699,0.09452,-1.9162,-2.0168,0.0015,24.02,36.77,24.02,38.75,32.11,14.73,0.004434,3.543,6.3148,0.048383,0.069738,1.76787,2.0,88.394,95.227,75,34,125,84.0
B0005,42,2008-04-24T21:38:11,24.0,3311.83,4.1995,3.3615,2.6668,4.1995,3.5563,1.5327,0.2209,0.000253,-0.4619,0.09443,-1.9159,-2.0173,0.0018,24.26,36.85,24.26,38.87,32.27,14.62,0.004413,3.505,6.2947,0.048038,0.070125,1.76232,2.0,88.116,94.927,75,33,125,83.0
B0005,43,2008-04-25T12:03:44,24.0,3327.39,4.1941,3.347,2.6844,4.1941,3.559,1.5097,0.2249,0.0002546,-0.4089,0.10151,-1.9114,-2.0159,0.0005,23.99,36.71,23.99,38.5,31.84,14.51,0.004361,3.534,6.3126,0.048087,0.069713,1.76762,2.0,88.381,95.213,75,32,125,82.0
B0005,44,2008-04-25T20:03:55,24.0,3312.08,4.2007,3.3712,2.6452,4.2007,3.5534,1.5555,0.2226,0.0002504,-0.497,0.09498,-1.9158,-2.0219,0.0024,23.83,36.38,23.83,38.27,31.76,14.44,0.00436,3.461,6.2903,0.048087,0.069713,1.76267,2.0,88.133,94.946,75,31,125,81.0
B0005,45,2008-04-26T01:04:35,24.0,3293.17,4.1991,3.38,2.6604,4.1991,3.551,1.5387,0.2213,0.0002487,-0.4687,0.09574,-1.9151,-2.017,0.0006,23.35,36.18,23.35,38.12,31.42,14.77,0.004484,3.532,6.2461,0.047547,0.07318,1.75173,2.0,87.587,94.357,75,30,125,80.0
B0005,46,2008-04-26T05:57:35,24.0,3275.33,4.1994,3.3919,2.6927,4.1994,3.5513,1.5067,0.219,0.0002465,-0.4106,0.09589,-1.9148,-2.0162,0.0008,23.24,36.07,23.24,38.04,31.33,14.81,0.00452,3.539,6.2103,0.047641,0.071652,1.74185,2.0,87.092,93.825,75,29,125,79.0
B0005,47,2008-04-26T10:58:25,24.0,3265.02,4.1991,3.3893,2.6705,4.1991,3.549,1.5286,0.2211,0.000248,-0.4481,0.09597,-1.9144,-2.0171,0.0015,23.21,36.07,23.21,38.18,31.36,14.97,0.004583,3.581,6.1861,0.048424,0.0725,1.73609,2.0,86.805,93.515,75,28,125,78.0
B0005,48,2008-04-29T12:15:56,24.0,3328.94,4.1904,3.24,2.6052,4.1904,3.5598,1.5853,0.2269,0.0002855,-0.6557,0.09213,-1.9389,-2.0168,0.0025,26.65,39.4,26.65,40.71,34.31,14.06,0.004225,3.331,6.4123,0.048424,0.0725,1.79362,2.0,89.681,96.614,75,27,125,77.0
B0005,49,2008-04-29T17:05:27,24.0,3329.27,4.1999,3.3111,2.672,4.1999,3.5623,1.5279,0.222,0.000267,-0.4781,0.09253,-1.9275,-2.0166,0.0029,25.7,38.25,25.7,39.89,33.44,14.18,0.004261,3.376,6.3796,0.049431,0.070141,1.78319,2.0,89.159,96.052,75,26,125,76.0
B0005,50,2008-04-29T22:00:04,24.0,3301.58,4.1994,3.3329,2.6743,4.1994,3.5583,1.5251,0.2212,0.0002625,-0.4634,0.09365,-1.9267,-2.0225,0.0012,24.84,37.66,24.83,39.18,32.67,14.35,0.004345,3.411,6.3148,0.049748,0.07113,1.76736,2.0,88.368,95.199,75,25,125,75.0
B0005,51,2008-04-30T02:43:55,24.0,3283.56,4.199,3.3338,2.6309,4.199,3.554,1.5681,0.2244,0.0002635,-0.5341,0.09447,-1.9261,-2.0168,0.0027,24.36,37.41,24.36,38.95,32.28,14.59,0.004443,3.477,6.2704,0.049885,0.071983,1.75702,2.0,87.851,94.642,75,24,125,74.0
B0005,52,2008-04-30T07:41:42,24.0,3275.12,4.1994,3.3615,2.663,4.1994,3.5524,1.5365,0.222,0.0002558,-0.4663,0.09516,-1.9202,-2.0173,0.0031,24.02,36.98,24.02,38.61,32.01,14.59,0.004454,3.511,6.2311,0.049216,0.071464,1.74687,2.0,87.344,94.095,75,23,125,73.0
B0005,53,2008-04-30T12:28:49,24.0,3265.66,4.1996,3.3529,2.6129,4.1996,3.5496,1.5867,0.2262,0.0002593,-0.5516,0.09513,-1.9201,-2.0159,0.0013,24.02,37.11,24.01,38.92,32.06,14.9,0.004563,3.566,6.2086,0.049946,0.070887,1.74172,2.0,87.086,93.818,75,22,125,72.0
B0005,54,2008-04-30T17:20:16,24.0,3266.09,4.1993,3.3652,2.6157,4.1993,3.5494,1.5836,0.2264,0.0002554,-0.5424,0.09504,-1.9144,-2.0206,0.001,24.34,37.45,24.33,39.23,32.44,14.9,0.004561,3.602,6.1902,0.04897,0.071782,1.73642,2.0,86.821,93.533,75,21,125,71.0
B0005,55,2008-04-30T22:14:54,24.0,3257.59,4.1989,3.3858,2.6288,4.1989,3.5472,1.5702,0.2256,0.0002496,-0.5135,0.09555,-1.9083,-2.0176,0.0021,24.12,36.88,24.12,38.96,32.17,14.84,0.004556,3.563,6.1504,0.050229,0.071832,1.72632,2.0,86.316,92.989,75,20,125,70.0
B0005,56,2008-05-01T03:15:33,24.0,3248.59,4.1983,3.4084,2.6655,4.1983,3.5467,1.5328,0.2226,0.0002432,-0.4466,0.09585,-1.9022,-2.0164,0.0018,23.97,36.63,23.97,38.84,32.06,14.87,0.004577,3.58,6.1114,0.049715,0.07139,1.71581,2.0,85.79,92.422,75,19,125,69.0
B0005,57,2008-05-01T08:16:03,24.0,3238.77,4.199,3.4098,2.6505,4.199,3.5446,1.5485,0.2244,0.0002437,-0.4734,0.09613,-1.902,-2.017,0.0014,23.84,36.73,23.84,38.83,31.98,14.99,0.004628,3.614,6.0889,0.049132,0.072452,1.71053,2.0,85.527,92.138,75,18,125,68.0
B0005,58,2008-05-01T13:14:24,24.0,3240.14,4.1992,3.4173,2.6432,4.1992,3.5436,1.5559,0.2252,0.0002413,-0.4845,0.09616,-1.8965,-2.0168,0.0049,23.96,36.83,23.96,39.14,32.22,15.18,0.004686,3.681,6.072,0.04921,0.07304,1.70601,2.0,85.301,91.895,75,17,125,67.0
B0005,59,2008-05-01T18:11:10,24.0,3230.11,4.1992,3.4218,2.6565,4.1992,3.5445,1.5428,0.225,0.0002407,-0.4623,0.09564,-1.896,-2.02,0.0018,24.47,37.09,24.47,39.35,32.56,14.88,0.004608,3.588,6.0529,0.049506,0.072511,1.70031,2.0,85.016,91.588,75,16,125,66.0
B0005,60,2008-05-01T23:10:15,24.0,3229.78,4.1993,3.4271,2.6262,4.1993,3.5409,1.5731,0.2276,0.0002391,-0.5125,0.09605,-1.89,-2.0164,0.0049,24.27,36.76,24.27,39.29,32.4,15.03,0.004653,3.626,6.0273,0.048652,0.072018,1.69458,2.0,84.729,91.279,75,15,125,65.0
B0005,61,2008-05-02T03:53:34,24.0,3212.47,4.1996,3.4382,2.6582,4.1996,3.5412,1.5414,0.2254,0.000237,-0.4618,0.0963,-1.8894,-2.0265,0.0024,24.15,36.67,24.14,39.1,32.29,14.96,0.004656,3.637,5.9921,0.049166,0.07317,1.6849,2.0,84.245,90.758,75,14,125,64.0
B0005,62,2008-05-02T08:44:40,24.0,3213.22,4.1994,3.4656,2.6951,4.1994,3.5407,1.5043,0.222,0.0002284,-0.3943,0.09689,-1.8777,-2.0173,0.0015,23.94,36.23,23.93,39.05,32.14,15.11,0.004703,3.655,5.9534,0.049234,0.072771,1.67447,2.0,83.724,90.196,75,13,125,63.0
B0005,63,2008-05-02T13:43:05,24.0,3203.58,4.199,3.445,2.6391,4.199,3.5376,1.5599,0.2275,0.0002354,-0.4931,0.09673,-1.8831,-2.0226,0.0059,24.08,36.84,24.08,39.4,32.38,15.32,0.004781,3.739,5.9499,0.050548,0.072709,1.67457,2.0,83.728,90.201,75,12,125,62.0
B0005,64,2008-05-02T19:07:48,24.0,3195.12,4.1978,3.4675,2.6857,4.1978,3.5384,1.5121,0.2245,0.0002286,-0.4115,0.09648,-1.8764,-2.0159,0.0034,24.43,36.31,24.43,39.11,32.31,14.68,0.004594,3.574,5.9111,0.050119,0.07301,1.66372,2.0,83.186,89.616,75,11,125,61.0
B0005,65,2008-05-02T23:24:17,24.0,3195.31,4.2013,3.4717,2.6902,4.2013,3.5393,1.5112,0.2237,0.0002283,-0.4014,0.09666,-1.871,-2.0169,0.0012,24.33,36.58,24.33,39.44,32.57,15.12,0.004731,3.699,5.8968,0.050119,0.07301,1.65901,2.0,82.951,89.363,75,10,125,60.0
B0005,66,2008-05-03T04:13:08,24.0,3186.3,4.1993,3.4661,2.6399,4.1993,3.5337,1.5594,0.2284,0.0002301,-0.4889,0.09729,-1.8706,-2.019,0.0007,24.13,36.62,24.12,39.51,32.47,15.38,0.004826,3.763,5.8701,0.049793,0.073437,1.65385,2.0,82.693,89.085,75,9,125,59.0
B0005,67,2008-05-03T09:10:19,24.0,3176.44,4.1989,3.4853,2.6899,4.1989,3.5344,1.509,0.224,0.0002247,-0.4087,0.09769,-1.864,-2.018,0.0017,23.98,36.29,23.98,39.33,32.35,15.35,0.004834,3.769,5.8297,0.049865,0.073213,1.64265,2.0,82.133,88.482,75,8,125,58.0
B0005,68,2008-05-03T14:04:34,24.0,3167.59,4.1985,3.48,2.6594,4.1985,3.5313,1.5392,0.2271,0.0002268,-0.4602,0.09767,-1.8637,-2.0158,0.0009,23.98,36.4,23.97,39.44,32.37,15.46,0.004881,3.798,5.8084,0.049812,0.074596,1.63786,2.0,81.893,88.223,75,7,125,57.0
B0005,69,2008-05-03T18:58:13,24.0,3167.72,4.1989,3.4876,2.6657,4.1989,3.5309,1.5332,0.2267,0.0002246,-0.4455,0.09785,-1.8578,-2.0192,0.0032,24.04,36.34,24.04,39.51,32.46,15.48,0.004885,3.807,5.7893,0.048507,0.074583,1.63274,2.0,81.637,87.948,75,6,125,56.0
B0005,70,2008-05-03T23:42:30,24.0,3159.08,4.1996,3.4846,2.643,4.1996,3.5287,1.5566,0.2293,0.0002263,-0.4797,0.09814,-1.8572,-2.0178,0.0023,24.08,36.42,24.07,39.6,32.5,15.52,0.004913,3.822,5.7687,0.050023,0.073664,1.62775,2.0,81.388,87.679,75,5,125,55.0
B0005,71,2008-05-04T04:41:40,24.0,3148.83,4.1988,3.484,2.6311,4.1988,3.5263,1.5677,0.2307,0.000227,-0.4992,0.09818,-1.8568,-2.0162,0.0036,24.04,36.47,24.04,39.69,32.5,15.64,0.004968,3.85,5.7447,0.050205,0.073719,1.62213,2.0,81.106,87.376,75,4,125,54.0
B0005,72,2008-05-04T09:40:11,24.0,3149.09,4.1991,3.5085,2.6962,4.1991,3.5287,1.5029,0.2248,0.0002193,-0.397,0.09842,-1.8449,-2.0184,0.0024,24.01,36.02,24.01,39.54,32.47,15.53,0.004931,3.832,5.7086,0.049759,0.074656,1.61133,2.0,80.566,86.794,75,3,125,53.0
B0005,73,2008-05-04T14:38:13,24.0,3140.55,4.1985,3.5038,2.6668,4.1985,3.5256,1.5318,0.2278,0.0002212,-0.4437,0.09867,-1.8444,-2.02,0.0018,23.99,36.12,23.99,39.65,32.5,15.66,0.004985,3.864,5.6873,0.049687,0.073554,1.60656,2.0,80.328,86.538,75,2,125,52.0
B0005,74,2008-05-04T19:37:07,24.0,3131.62,4.1987,3.5001,2.6403,4.1987,3.5227,1.5584,0.2305,0.0002231,-0.4809,0.09886,-1.8439,-2.0161,0.0024,23.99,36.2,23.98,39.7,32.51,15.71,0.005017,3.886,5.6654,0.04995,0.074623,1.60151,2.0,80.076,86.266,75,1,125,51.0
B0005,75,2008-05-05T00:35:53,24.0,3121.91,4.1988,3.5177,2.6989,4.1988,3.5247,1.4999,0.2255,0.0002182,-0.3931,0.09949,-1.8371,-2.0172,0.0035,23.93,35.87,23.93,39.56,32.46,15.63,0.005007,3.871,5.6272,0.050283,0.073604,1.59037,2.0,79.518,85.665,75,0,125,50.0
B0005,76,2008-05-05T05:28:13,24.0,3122.12,4.1988,3.5174,2.6682,4.1988,3.5213,1.5305,0.2284,0.0002182,-0.4372,0.09941,-1.8316,-2.0176,0.0029,23.88,35.81,23.88,39.64,32.45,15.76,0.005047,3.903,5.6064,0.04992,0.074642,1.58579,2.0,79.289,85.419,75,0,125,49.0
B0005,77,2008-05-05T11:41:31,24.0,3121.67,4.2003,3.516,2.6479,4.2003,3.518,1.5524,0.2312,0.0002192,-0.4588,0.10001,-1.8311,-2.0163,0.0017,23.91,35.67,23.9,39.44,32.33,15.53,0.004974,3.849,5.5981,0.05008,0.075477,1.58494,2.0,79.247,85.373,75,0,125,48.0
B0005,78,2008-05-05T20:40:08,24.0,3120.86,4.2011,3.497,2.6742,4.2011,3.5237,1.527,0.2292,0.0002256,-0.4149,0.09862,-1.8433,-2.0163,0.0031,24.47,36.35,24.47,39.84,32.84,15.37,0.004924,3.793,5.6461,0.05008,0.075477,1.59553,2.0,79.776,85.943,75,0,125,47.0
B0005,79,2008-05-06T01:38:46,24.0,3103.83,4.1982,3.5202,2.6893,4.1982,3.5191,1.5089,0.2272,0.0002184,-0.3994,0.10002,-1.8298,-2.0161,0.0022,23.82,35.52,23.81,39.42,32.32,15.59,0.005024,3.864,5.5631,0.054873,0.079344,1.57473,2.0,78.737,84.823,75,0,125,46.0
B0005,80,2008-05-06T06:37:06,24.0,3095.09,4.1985,3.5292,2.6888,4.1985,3.5162,1.5097,0.2273,0.0002162,-0.402,0.10087,-1.8237,-2.0176,0.0027,23.41,35.27,23.41,39.26,32.06,15.86,0.005123,3.944,5.5227,0.05524,0.080024,1.5649,2.0,78.245,84.294,75,0,125,45.0
